id_client,Category,Price,Card Type,Gender,Job_Title,state_name
37,Electronics,"72,93",mastercard,Genderqueer,Editor,ND
38,Jewelry,"121,89",mastercard,Male,Assistant Manager,PA
39,Baby,"64,3",mastercard,Female,Financial Analyst,MA
40,Outdoors,"9,48",mastercard,Female,Civil Engineer,OR
5,Outdoors,"61,95",mastercard,Female,VP Marketing,MN
6,Outdoors,"15,96",mastercard,Male,Automation Specialist I,VA
7,Beauty,"149,02",mastercard,Male,Project Manager,CO
8,Games,"97,38",mastercard,Male,Geological Engineer,TX
9,Outdoors,"139,96",mastercard,Female,Senior Cost Accountant,PA
10,Shoes,"55,45",mastercard,Female,Statistician II,CA
11,Jewelry,"96,16",mastercard,Female,Software Consultant,NC
12,Computers,"104,93",mastercard,Female,Senior Sales Associate,CA
13,Baby,"92,52",mastercard,Genderfluid,Health Coach III,TX
14,Grocery,"108,42",mastercard,Male,Geologist III,TX
15,Shoes,"144,17",mastercard,Female,Senior Cost Accountant,DC
16,Computers,"5,45",mastercard,Male,Media Manager II,TX
17,Sports,"5,12",mastercard,Female,Media Manager II,VA
18,Games,"29,3",mastercard,Female,Marketing Manager,OH
19,Toys,"9,34",mastercard,Male,Assistant Manager,MD
20,Music,"94,53",mastercard,Genderfluid,Senior Editor,LA
21,Computers,"16,72",mastercard,Female,Research Nurse,LA
22,Tools,"32,56",mastercard,Female,Information Systems Manager,LA
23,Beauty,"6,84",mastercard,Female,Dental Hygienist,FL
24,Grocery,"10,44",mastercard,Female,Web Designer III,GA
25,Clothing,"85,65",mastercard,Male,Senior Developer,LA
26,Industrial,"133,3",mastercard,Female,Senior Sales Associate,LA
27,Baby,"69,98",mastercard,Male,Project Manager,TX
28,Jewelry,"48,58",mastercard,Female,Pharmacist,MI
29,Home,"142,53",mastercard,Male,Cost Accountant,MI
30,Industrial,"99,03",mastercard,Female,Human Resources Assistant III,OH
31,Toys,"87,62",mastercard,Male,Sales Representative,NE
32,Home,"141,11",mastercard,Male,Food Chemist,CA
33,Books,"68,77",mastercard,Male,VP Product Management,FL
34,Home,"15,12",mastercard,Male,Senior Financial Analyst,WA
35,Movies,"96,45",mastercard,Male,Occupational Therapist,VA
36,Health,"123,38",mastercard,Male,Automation Specialist IV,TX
37,Home,"58,77",mastercard,Genderqueer,Editor,ND
38,Clothing,"117,56",mastercard,Male,Assistant Manager,PA
39,Clothing,"134,15",mastercard,Female,Financial Analyst,MA
40,Jewelry,"53,63",mastercard,Female,Civil Engineer,OR
41,Books,"82,78",mastercard,Male,Design Engineer,MS
42,Movies,"132,11",mastercard,Female,Senior Editor,CA
43,Computers,"59,74",mastercard,Male,General Manager,TX
44,Automotive,"105,26",mastercard,Non-binary,Nurse Practicioner,CA
45,Shoes,"53,56",mastercard,Female,Financial Advisor,FL
46,Tools,"136,53",mastercard,Female,Programmer Analyst IV,PA
